,school_name,subject_name,subject_score
0,Los Alamitos High School,Science ,52%
1,Los Alamitos High School,Math ,57%
2,Los Alamitos High School,English ,82%
3,Rossmoor Elementary School,English ,81%
4,Rossmoor Elementary School,Math ,83%
5,Rossmoor Elementary School,Science ,77%
6,Francis Hopkinson Elementary School,Math ,86%
7,Francis Hopkinson Elementary School,English ,87%
8,Francis Hopkinson Elementary School,Science ,58%
9,Richard Henry Lee Elementary School,English ,88%
10,Richard Henry Lee Elementary School,Math ,84%
11,Richard Henry Lee Elementary School,Science ,77%
12,Oak Middle School,Math ,61%
13,Oak Middle School,English ,80%
14,Oak Middle School,Science ,59%
15,Jack L. Weaver Elementary School,Math ,88%
16,Jack L. Weaver Elementary School,English ,90%
17,Jack L. Weaver Elementary School,Science ,68%
18,Los Alamitos Elementary School,English ,74%
19,Los Alamitos Elementary School,Math ,70%
20,Los Alamitos Elementary School,Science ,53%
21,Sharon Christa Mcauliffe Middle School,Math ,57%
22,Sharon Christa Mcauliffe Middle School,English ,72%
23,Sharon Christa Mcauliffe Middle School,Science ,56%
